Original_Entry_ID,pXC50,SMILES
CHEMBL98541,8.89,C12=NO[C@H]([C@@H]1COC=3C2=CC(=C(OC)C3)OC)CN4CCN(CC4)C/C=C(/C5=CC=C(C=C5)F)\C
CHEMBL1171975,8.9,N1CCN(C(C1)CC=2C=CC=CC2)C=3C=CC4=C(C3)C=NN4
CHEMBL183542,7.51,N1C=C(CCCN(C)C)C=2C1=CC=C(I)C2
CHEMBL407815,7.14,C=1C=C(C(OC2=CC=C(C=C2F)Cl)=CC1)CNC
CHEMBL79151,9.24,C=1(SC=2C=CC(=CC2C1)Cl)[C@H]3C[C@H](C)N(CC3)C[C@@H](COC4=C5C(NC=C5)=CC=C4)O
CHEMBL272744,5.89,C(C)N(CC)C(C1(C2=CC=CC=C2)C(CNCC)C1)=O
25069300,7.07212,FC1=C(OCCCN2CCN(CC2)C=3C=4C(C=CC3)=CC=CC4)C=CC=5C1=C(O)NC5
CHEMBL232672,2.57,C=1CCC(C(OC)=O)C1C=2C=CC(=CC2)OC
CHEMBL339401,5.36,C12C([C@@H](OC(C=3C=CC(=CC3)I)C=4C=CC(=CC4)Br)CC(N1C)CC2)C(=O)OC
CHEMBL149776,8.33,N1(C2C=C(CC1CC2)C3=CC(Cl)=C(C=C3)Cl)C[C@@H]4OC5=C(OC)C=CC=C5OC4
CHEMBL381315,7.19,C=1(C(=CC=2[C@@H](CC[C@@H](C2C1)NC)C=3C=C(C(=CC3)Cl)Cl)C(O)=O)N=S(C)(O)=O
CHEMBL439423,7.47,[C@]1(C=2C=CSC2)(C(N(C)CC#C)=O)[C@H](CN)C1
CHEMBL511279,7.2,C1=CC(N2CCN(CC2)CCC3=C4C(=CC=C3)N(C(CO4)=O)CC(F)F)=C5C=CC(C)=NC5=C1
CHEMBL1224401,8.5,C1(CCNC1)(C(C2=CC(=C(C(=C2)Cl)Cl)F)=O)CCC(C)(C)C
279413,6.16115,S(C(C1=CC=CC=C1)C2=CC=CC=C2)CCN
CHEMBL524798,5.4,C1=CC=C2C(=C1)[C@@H]([C@@H](OC2)CN)OC3=CC=CC=C3C
CHEMBL1813470,7.9,C1CC[C@@H]2CN(C[C@]2(C3=CC=C4C(=C3)C=CC=C4)C1)C
